Province,District,Candidate no.,Party,Votes
Bangkok Metropolis,11,27,Prachatham Thai,33
Bangkok Metropolis,11,31,Thai Network Party,26
Bangkok Metropolis,11,25,Prachathai,23
Bangkok Metropolis,11,20,Thai People Power Party,19
Bangkok Metropolis,11,26,Palang Thai Sang Chart,18
Bangkok Metropolis,11,23,Thai Raksa Chart,0
Bangkok Metropolis,12,8,Pheu Thai,30254
Bangkok Metropolis,12,1,Future Forward Party,27629
Bangkok Metropolis,12,12,Palang Pracharath Party,27571
Bangkok Metropolis,12,6,Democrat Party,11075
Bangkok Metropolis,12,24,New Economics Party,5174
Bangkok Metropolis,12,11,Bhumjaithai Party,4057
Bangkok Metropolis,12,13,Thai Liberal Party,2394
Bangkok Metropolis,12,4,Action Coalition for Thailand,625
Bangkok Metropolis,12,14,Thai Forest Conservation Party,510
Bangkok Metropolis,12,9,Thai Local Power Party,436
Bangkok Metropolis,12,7,Chart Thai Pattana,345
Bangkok Metropolis,12,3,Puea Chat party,304
Bangkok Metropolis,12,5,Chart Pattana,181
Bangkok Metropolis,12,32,Thai Citizen,145
Bangkok Metropolis,12,16,People's Reform,143
Bangkok Metropolis,12,2,New Palangdharma Party,139
Bangkok Metropolis,12,10,Prachachat Party,127
Bangkok Metropolis,12,28,People Progressive party,118
Bangkok Metropolis,12,21,New Democracy Party,106
Bangkok Metropolis,12,27,Palang Thai Rak Thai,78
Bangkok Metropolis,12,29,Prachathai,63
Bangkok Metropolis,12,22,New Alternative Party,58
Bangkok Metropolis,12,30,Prachatham Thai,56
Bangkok Metropolis,12,26,Kru Thai,47
Bangkok Metropolis,12,20,Prashaniyom,41
Bangkok Metropolis,12,25,Palang Chart Thai,41
Bangkok Metropolis,12,33,Thai Network Party,37
Bangkok Metropolis,12,15,Mahachon Party,30
Bangkok Metropolis,12,18,Paradonraphab Party,30
Bangkok Metropolis,12,23,Thai People Power Party,30
Bangkok Metropolis,12,31,Palang Thai Sang Chart,28
Bangkok Metropolis,12,19,Puea Pandin Party,27
Bangkok Metropolis,12,17,People Vote Party,16
Bangkok Metropolis,13,9,Palang Pracharath Party,27489
Bangkok Metropolis,13,5,Pheu Thai,23912
Bangkok Metropolis,13,10,Future Forward Party,23707
Bangkok Metropolis,13,8,Democrat Party,17958
Bangkok Metropolis,13,21,New Economics Party,4803
Bangkok Metropolis,13,17,Thai Liberal Party,2091
Bangkok Metropolis,13,14,Prachachat Party,1544
Bangkok Metropolis,13,6,Bhumjaithai Party,918
Bangkok Metropolis,13,2,Action Coalition for Thailand,677
Bangkok Metropolis,13,16,Thai Forest Conservation Party,333
Bangkok Metropolis,13,1,Puea Chat party,253
Bangkok Metropolis,13,4,Chart Thai Pattana,237
Bangkok Metropolis,13,15,People's Reform,179
Bangkok Metropolis,13,7,New Palangdharma Party,129
